CountryID,CountryName,GDP (current US$)_2015,GDP (current US$)_2016,GDP (current US$)_2017,GDP (current US$)_2018,GDP (current US$)_2019,GDP (current US$)_2020,GDP (current US$)_2021,GDP (current US$)_2022,GDP (current US$)_2023,GDP (current US$)_2024,"Population, total_2015","Population, total_2016","Population, total_2017","Population, total_2018","Population, total_2019","Population, total_2020","Population, total_2021","Population, total_2022","Population, total_2023","Population, total_2024",GDP growth (annual %)_2015,GDP growth (annual %)_2016,GDP growth (annual %)_2017,GDP growth (annual %)_2018,GDP growth (annual %)_2019,GDP growth (annual %)_2020,GDP growth (annual %)_2021,GDP growth (annual %)_2022,GDP growth (annual %)_2023,GDP growth (annual %)_2024,"Inflation, consumer prices (annual %)_2015","Inflation, consumer prices (annual %)_2016","Inflation, consumer prices (annual %)_2017","Inflation, consumer prices (annual %)_2018","Inflation, consumer prices (annual %)_2019","Inflation, consumer prices (annual %)_2020","Inflation, consumer prices (annual %)_2021","Inflation, consumer prices (annual %)_2022","Inflation, consumer prices (annual %)_2023","Inflation, consumer prices (annual %)_2024","Unemployment, total (% of total labor force)_2015","Unemployment, total (% of total labor force)_2016","Unemployment, total (% of total labor force)_2017","Unemployment, total (% of total labor force)_2018","Unemployment, total (% of total labor force)_2019","Unemployment, total (% of total labor force)_2020","Unemployment, total (% of total labor force)_2021","Unemployment, total (% of total labor force)_2022","Unemployment, total (% of total labor force)_2023","Unemployment, total (% of total labor force)_2024","Foreign direct investment, net inflows (BoP, current US$)_2015","Foreign direct investment, net inflows (BoP, current US$)_2016","Foreign direct investment, net inflows (BoP, current US$)_2017","Foreign direct investment, net inflows (BoP, current US$)_2018","Foreign direct investment, net inflows (BoP, current US$)_2019","Foreign direct investment, net inflows (BoP, current US$)_2020","Foreign direct investment, net inflows (BoP, current US$)_2021","Foreign direct investment, net inflows (BoP, current US$)_2022","Foreign direct investment, net inflows (BoP, current US$)_2023","Foreign direct investment, net inflows (BoP, current US$)_2024","Total reserves (includes gold, current US$)_2015","Total reserves (includes gold, current US$)_2016","Total reserves (includes gold, current US$)_2017","Total reserves (includes gold, current US$)_2018","Total reserves (includes gold, current US$)_2019","Total reserves (includes gold, current US$)_2020","Total reserves (includes gold, current US$)_2021","Total reserves (includes gold, current US$)_2022","Total reserves (includes gold, current US$)_2023","Total reserves (includes gold, current US$)_2024"
ABW,Aruba,2962907262.56983,2983635195.53073,3092429050.27933,3276184357.5419,3395798882.68156,2481857122.8401,2929446578.25104,3279343543.60416,3648573136.15155,,107906.0,108727.0,108735.0,108908.0,109203.0,108587.0,107700.0,107310.0,107359.0,,-0.623625902371245,1.71962497989442,7.04853338603499,2.39708527621045,-2.23244039160568,-26.2118207828803,24.1326273569798,8.51791810517545,4.26371941452948,,0.474763597342641,-0.931195987079561,-1.02828178762012,3.62604141352961,4.25746204335428,,,,,,,,,,,,,,,,-26881396.993856,27550827.0999312,162456842.302022,144146269.421966,-75226540.6843182,161066979.086053,133545121.178455,248150282.616618,-137459364.921322,,815800560.0,922550890.0,907111452.513966,980247680.0,982300000.0,1212578720.0,1512960280.0,1543940590.0,1468151730.0,
AFE,Africa Eastern and Southern,898277807343.005,828942805457.755,972998927353.678,1012306000425.25,1009721174054.91,933391782089.617,1085745178850.97,1191423176242.96,1245472471675.95,,607123269.0,623369401.0,640058741.0,657801085.0,675950189.0,694446100.0,713090928.0,731821393.0,750503764.0,,3.00493689926236,2.19476089054338,2.68454305378005,2.66663182841025,2.19431852727669,-2.86429251059897,4.57639280212381,3.5538783639465,2.32013780158925,,5.24587835022454,6.59650490696543,6.39934341569381,4.72080474200535,4.64496717329569,5.40516207933392,7.24097765588442,10.7737512242899,7.12697482131851,,7.03635682492424,7.19466599460041,7.34633063442169,7.3605131044333,7.58441879909928,8.19139491127414,8.57738499231761,7.98520225155097,7.80636542181197,7.77265552201601,28638672651.1813,16660273376.0006,10328975517.5977,13594659433.1779,14927293396.981,13221013730.4892,54357695897.8689,21163231366.9797,21404116603.3531,,,,,,,,,,,
AFG,Afghanistan,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17233051620.1117,,33831764.0,34700612.0,35688935.0,36743039.0,37856121.0,39068979.0,40000412.0,40578842.0,41454761.0,,1.45131466066431,2.26031420279821,2.6470032027451,1.18922812944517,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269,2.71088679128353,,-0.661709164713742,4.38389195513915,4.97595150553833,0.626149149168847,2.30237251516834,5.60188791482224,5.13320340824963,13.7121023720065,-4.64470870797775,-6.60118564073726,9.052,10.133,11.184,11.196,11.185,11.71,11.994,14.1,13.991,13.295,169146608.0,93591315.3,51533896.765,119435105.715177,23404553.647249,12970147.9832,20600980.0,,,,6976966153.82054,7281910524.1067,8097280955.90196,8206682106.31946,8497655795.34729,9748946326.71795,,,,
AFW,Africa Western and Central,771766914345.161,694360980069.456,687849196676.202,770494988148.76,826483769985.129,789801651563.294,849312422223.205,883973910898.854,799105950273.831,,418127845.0,429454743.0,440882906.0,452195915.0,463365429.0,474569351.0,485920997.0,497387180.0,509398589.0,,2.72036453616364,0.160782096930689,2.28981037958782,2.84475541662378,3.232902511937,-1.00399403959297,4.03762951350967,3.78967984579947,3.3547328190002,,2.13081738058791,1.48741550755546,1.72548602374723,1.78404994832039,1.98309228487231,2.49037783931944,3.74570045027359,7.94925143524016,5.22116801323998,,4.16446707837468,4.15757437388452,4.27419620395302,4.32363095413829,4.39527121076194,4.85239270055131,4.73673176237333,3.65857318082157,3.27724546605141,3.21831342109344,16597546703.8138,15648122109.4482,17742426799.2053,14952295848.1353,12821862479.1711,10985178644.3587,17014131795.9315,16601315046.039,19225613605.3468,,,,,,,,,,,
AGO,Angola,90496420506.5957,52761617225.9253,73690154990.7312,79450688259.3664,70897962732.0277,48501561203.5686,66505129987.7235,104399746853.401,84824654481.7249,,28157798.0,29183070.0,30234839.0,31297155.0,32375632.0,33451132.0,34532429.0,35635029.0,36749906.0,,0.943571561325001,-2.58004964404932,-0.147212941085755,-1.31636168896895,-0.702272957616017,-5.63821471714934,1.19921052145153,3.04472652391918,1.00128936028298,,9.35597215533784,30.6944150806719,29.8444799015679,19.6289379701521,17.080954143438,22.271539247051,25.7542948841891,21.3552901320822,13.6441017767715,28.2404948915772,16.49,16.575,16.61,16.594,16.497,16.69,15.799,14.602,14.537,14.464,10028215162.6394,-179517618.92,-7397295409.18991,-6456076413.12033,-4098478747.63755,-1866468113.07454,-4355116552.71589,-6598652652.09389,-2119632185.51477,,23790543425.2351,23672191989.4347,17455327770.6619,15410405365.47,16334853784.0603,13781988139.5961,14468113825.809,13654715740.4529,13942114198.8828,14242892504.625
ALB,Albania,11386853113.0189,11861199830.8396,13019726211.7369,15379509891.7196,15585105131.0644,15241458744.8688,18032010563.7558,19017242585.7803,23547179830.4413,,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,2837849.0,2811666.0,2777689.0,2745972.0,,2.21872637517804,3.31498068384137,3.80259872019053,4.01934561695576,2.06256753999989,-3.31371614712083,8.96955339178935,4.82668831434437,3.93662525742167,,3.50120835492657,-0.367317209784652,2.06059845920226,2.02805963071135,1.41109078954251,1.62088661717004,2.04147163139545,6.7252027153006,4.75976421930106,2.21448953273294,17.193,15.418,13.616,12.304,11.466,11.69,11.474,10.137,10.108,10.25,989578334.828616,1044389554.85795,1022757857.07377,1204383363.60476,1201022154.46643,1069744879.65453,1218586452.37158,1441381891.41694,1620982550.5431,,3138517990.16501,3108607051.81759,3588583656.8278,3893560031.06681,3763661058.67744,4817386149.20461,5634561133.54085,5266463583.50313,6455445543.45668,
AND,Andorra,2789881258.50362,2896610479.73077,3000162081.11976,3218419896.9641,3155149347.80639,2891001149.3611,3324647529.381,3380612573.32922,3785067331.7625,,72174.0,72181.0,73763.0,75162.0,76474.0,77380.0,78364.0,79705.0,80856.0,,1.43414039522716,3.70967806978986,0.346071889630295,1.58876549046354,2.01554763848308,-11.1839399355384,8.28677879049404,9.56461225648184,2.58355480961319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,2544700996740.79,2500823407237.94,2572203993723.9,2867348492603.59,2899029698316.63,2562783626987.73,2969239218342.03,3609805711776.49,3512421040998.19,,410190679.0,419808341.0,428315886.0,435998060.0,444281315.0,453723239.0,460646603.0,471352066.0,481667539.0,,3.24398890309855,3.61430679933925,1.53775331351054,2.63004003510846,1.58371466354251,-4.71178424288769,4.03110635309368,5.72143310855439,1.02075134315025,,1.84862742374977,2.6765917009819,2.17183298510006,2.45814158007532,1.09184802655856,1.61222220402456,2.96581008346283,5.08754200853911,3.64216403030709,,11.1489135724281,10.8562902038262,11.1131075474704,10.6597396349929,10.2160980238311,11.3256125416623,10.8896587837575,9.9535706462442,9.59035028813167,9.49775858560165,21337111052.2071,47085439651.6689,30527077377.2239,42865771096.2678,34413431967.3474,32410671974.4138,68885397873.7188,77262721183.4329,85245219618.0633,,,,,,,,,,,
ARE,United Arab Emirates,370275469560.166,369255326235.771,390516804016.501,427049432149.345,417989721734.494,349473015336.939,415178792769.884,502731935197.487,514130432653.081,,8505237.0,8935095.0,9223225.0,9346701.0,9445785.0,9401038.0,9575152.0,10074977.0,10483751.0,,6.78677287945216,5.56149075496799,0.735068713165646,1.31391388141118,1.10834813893099,-4.95705243652739,4.35475529921305,7.50969703221836,3.61870653547174,,4.06996608361593,1.61748808904198,1.96682557818842,3.06863379251997,-1.93108114782173,-2.07940317940944,0.179935336174431,5.29122604376849,1.62670837213248,,1.793,1.64,2.462,2.236,2.331,4.294,3.105,2.872,2.151,2.133,8550901850.0,9604773000.0,10354223000.0,10385286000.0,17874660000.0,19884470000.0,20667120000.0,22736560000.0,30687540000.0,,93929134196.4176,85390832746.3078,95377648625.516,99503335478.7452,108359358451.761,106701571777.291,131116705892.304,138433303844.914,189490945175.271,231690115819.935
ARG,Argentina,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,486564085480.036,632790070063.124,646075277525.125,,43477012.0,43900313.0,44288894.0,44654882.0,44973465.0,45191965.0,45312281.0,45407904.0,45538401.0,,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.4418119882506,5.26987967384072,-1.61100162090189,,,,,,,,,,,,7.579,8.085,8.347,9.22,9.843,11.461,8.736,6.805,6.139,7.876,11758994011.286,3260164341.77393,11516861462.2845,11716769818.7543,6649187837.98606,4884127675.95708,6658049679.27728,15200600517.715,23866141439.654,,25520565580.4894,38414518491.6132,55314409205.2189,66221501691.4418,44880566052.3703,39403734630.1228,39653498610.7828,44795335171.5152,23080560550.2946,24380645448.6721
